"Schools_Name","ID","Schools_Category","Schools_No_Pupils","Schools_Tel","Schools_Head","Schools_Age_Range","Schools_Postcode","Xcoord","Ycoord"
"Linwood School","SS1","",0,"","","","",409375,93136
"The Bicknell School","SS2","",0,"","","","",412513,93436
"Personalised Alternative Curriculum Serv","SS3","",0,"","","","",407615,94234
