"UPRN","ORGANISATION","Sub_Building_No","Sub_Building_Name","Building_Number","THOROUGHFARE","LOCALITY","TOWN","POSTCODE","FULL_ADDRESS","WARD_NAME","PRIMARY_DESCRIPTION","SECONDARY_DESCRIPTION","TERTIARY_DESCRIPTION","X","Y","LOGICAL_STATUS","RPA_DESCRIPTION","PARTIAL_ADDRESS"
10024391879,"KINGS ROAD PUBLIC CONVENIENCES","","KINGS ROAD PUBLIC CONVENIENCES","","KINGS ROAD","","BOURNEMOUTH","BH3 7LD","KINGS ROAD PUBLIC CONVENIENCES, KINGS ROAD, BOURNEMOUTH, BH3 7LD","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",409583.0400,93007.7000,"Approved Preferred","Visual centre","KINGS ROAD PUBLIC CONVENIENCES, KINGS ROAD"
10024391898,"CEMETRY JUNCTION PUBLIC CONVENIENCE","","CEMETRY JUNCTION PUBLIC CONVENIENCE","","WIMBORNE ROAD","","BOURNEMOUTH","BH3 7AA","CEMETRY JUNCTION PUBLIC CONVENIENCE, WIMBORNE ROAD, BOURNEMOUTH, BH3 7AA","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",408933.2100,92563.3900,"Approved Preferred","Visual centre","CEMETRY JUNCTION PUBLIC CONVENIENCE, WIMBORNE ROAD"
10024391901,"WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD","","BOURNEMOUTH","BH9 2EX","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD, BOURNEMOUTH, BH9 2EX","WINTON EAST","Commercial","Community Services","Public Conveniences",408659.6300,93891.2700,"Approved Preferred","Visual centre","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD"
10024391903,"KINSON ROAD PUBLIC CONVENIENCE","","KINSON ROAD PUBLIC CONVENIENCE","","KINSON ROAD","","BOURNEMOUTH","BH10 4AJ","KINSON ROAD PUBLIC CONVENIENCE, KINSON ROAD, BOURNEMOUTH, BH10 4AJ","WALLISDOWN AND WINTON WEST","Commercial","Community Services","Public Conveniences",406531.5400,94145.8500,"Approved Preferred","Visual centre","KINSON ROAD PUBLIC CONVENIENCE, KINSON ROAD"
10024392984,"","PUBLIC CONVENIENCES","ATHLETIC CENTRE","","KINGS PARK DRIVE","","BOURNEMOUTH","BH7 7AF","PUBLIC CONVENIENCES, ATHLETIC CENTRE, BOURNEMOUTH, BH7 7AF","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",411783.6300,92714.3700,"Approved Preferred","Visual centre","ATHLETIC CENTRE, KINGS PARK DRIVE"
10024392985,"","PUBLIC CONVENIENCES","BOURNEMOUTH GARDENS TENNIS CENTRE","","CENTRAL GARDENS","","BOURNEMOUTH","BH2 6EY","PUBLIC CONVENIENCES, BOURNEMOUTH GARDENS TENNIS CENTRE, CENTRAL GARDENS, BOURNEMOUTH, BH2 6EY","CENTRAL","Commercial","Community Services","Public Conveniences",408199.8700,91403.3500,"Approved Preferred","Visual centre","BOURNEMOUTH GARDENS TENNIS CENTRE, CENTRAL GARDENS"
10024392986,"","","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES","","IFORD LANE","","BOURNEMOUTH","BH6 5NF","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES, IFORD LANE, BOURNEMOUTH, BH6 5NF","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414449.9973,92691.9964,"Approved Preferred","Visual centre","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES, IFORD LANE"
10024392987,"","PUBLIC CONVENIENCES","KINGS PARK PAVILION","","KINGS PARK CENTRAL DRIVE","","BOURNEMOUTH","BH1 4NN","PUBLIC CONVENIENCES, KINGS PARK PAVILION, BOURNEMOUTH, BH1 4NN","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",411335.3900,92632.7300,"Approved Preferred","Visual centre","KINGS PARK PAVILION, KINGS PARK CENTRAL DRIVE"
10024392988,"","PUBLIC CONVENIENCES","PAVILION","","ENDFIELD ROAD","","BOURNEMOUTH","BH9 1TH","PUBLIC CONVENIENCES, PAVILION, ENDFIELD ROAD, BOURNEMOUTH, BH9 1TH","MOORDOWN","Commercial","Community Services","Public Conveniences",409209.2200,94649.7400,"Approved Preferred","Visual centre","PAVILION, ENDFIELD ROAD"
10024392989,"","PUBLIC CONVENIENCES","MUSCLIFFE COMMUNITY CENTRE","","SHILLINGSTONE DRIVE","","BOURNEMOUTH","BH9 3LR","PUBLIC CONVENIENCES, MUSCLIFFE COMMUNITY CENTRE, SHILLINGSTONE DRIVE, BOURNEMOUTH, BH9 3LR","THROOP AND MUSCLIFF","Commercial","Community Services","Public Conveniences",410106.0000,95662.0000,"Approved Preferred","Visual centre","MUSCLIFFE COMMUNITY CENTRE, SHILLINGSTONE DRIVE"
